Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
5,1,1,33,9,NOTHING,false,0,0,0,1,0,,,0,0,4
6,1,1,42,9,NOTHING,false,0,0,0,1,0,,,0,0,4
7,1,1,51,3,HIT_WALL,false,0,4,0,1,0,,,0,0,-6
8,1,2,53,0,HIT_MUD,false,0,5,0,1,1,,,0,0,-5
9,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
10,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
11,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
12,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
13,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
14,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
15,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
16,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
17,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
18,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
19,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
20,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
21,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
22,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
23,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
24,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
25,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
26,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
27,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
28,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
29,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
30,1,2,53,0,ACCELERATING,false,0,5,0,1,1,,,0,0,-5
